"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",10,100,0,0.8,73,2,0.16049411301736,0.839505250570754,0.95,13.1612370656066,13.1612419675469,-0.0206359192263422,-0.0206389502586383,0.976294085112501,0.976292253529913,97.2,5.73364268439104e-10
"../Scripts/DATA-R-P-Sparse",10,100,0,1,91,2,0.000153583811773664,0.999906469542478,0.95,12.274847853494,12.2748067114757,0.576819489972792,0.57688743860473,0.997149382337843,0.997188487912752,102,8.63607133907921e-07
"../Scripts/DATA-R-P-Sparse",10,100,0.5,0.8,79,2,0.188797898502873,0.811207804433135,0.84,11.3884073499466,11.3884152418782,0.0428245034219663,0.04281684179077,0.9092493494059,0.90924491864933,21,1.30137844437457e-09
"../Scripts/DATA-R-P-Sparse",10,100,0.5,1,97,2,0.0104878864087856,0.990049169096389,0.88,11.0079257541023,11.00707073455,0.303996243467708,0.303645450064058,0.934376144622346,0.934507013391776,52.8,4.0912902811917e-06
"../Scripts/DATA-R-P-Sparse",10,100,0.8,0.8,85,2,0.396042767488001,0.604062344715565,0.88,7.58192609153641,7.58182641826705,0.053327583197887,0.0527423760558611,0.834021450780879,0.834026445091896,53.2,1.72643034424719e-05
"../Scripts/DATA-R-P-Sparse",10,100,0.8,1,103,2,0.192829792780102,0.807170205542716,0.92,8.76377376050408,8.76376872196041,-0.172413958242765,-0.172412348338667,0.831379067902766,0.831377246350593,66.8,9.03571543876979e-11
"../Scripts/DATA-R-P-Sparse",10,500,0,0.8,76,2,0.158719318781701,0.841280655785958,0.95,55.4825188690258,55.4825161665747,-0.521122836714927,-0.521122569903221,0.95176694734213,0.951767579951137,81.4,5.78395284322857e-11
"../Scripts/DATA-R-P-Sparse",10,500,0,1,94,2,1.92477377633046e-06,0.999997906676297,0.95,56.0661589135032,56.0661621157166,-0.144440225617587,-0.144440817598669,0.991695624282795,0.99169511887868,102,3.81340898247861e-10
"../Scripts/DATA-R-P-Sparse",10,500,0.5,0.8,82,2,0.183005448551818,0.816996096860467,0.84,48.923801611052,48.9237785567226,-0.192728104992835,-0.192726936730419,0.891973803682534,0.891978979446688,24.4,2.9867588396652e-10
"../Scripts/DATA-R-P-Sparse",10,500,0.5,1,100,2,0.00739679639823253,0.992603811802552,0.94,49.2838951192501,49.2838997552957,-0.209369401067523,-0.209369515364224,0.972138413855643,0.972137404233467,36.4,8.34329332385969e-12
"../Scripts/DATA-R-P-Sparse",10,500,0.8,0.8,88,2,0.247744938846867,0.752255301490439,0.94,33.4977196433301,33.4977150222571,0.332161015523338,0.332159817326175,0.967124894253274,0.967125029728568,27.8,1.73811430533403e-10
