"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",10,100,0,0.8,1,2,0.844987491017518,1,0.088026856875466,13.5852158391593,0.0997197241465482,-0.384442856530156,0.767512163524642,0.768118385709348,9.37625963019295e-06
"../Scripts/DATA-R-P-Sparse",10,100,0,1,19,2,1,1,0.0842975965246306,12.6199766860044,0.061910149713417,-0.719910336130168,0.999331752609319,0.999331752600607,7.0204759264542e-17
"../Scripts/DATA-R-P-Sparse",10,100,0.5,0.8,7,2,0.84302269443591,0.9,0.0882181520943742,12.2694668687645,0.0114896107298381,0.291774773855165,0.716181193612961,0.719908381948079,0.000131644412373794
"../Scripts/DATA-R-P-Sparse",10,100,0.5,1,25,2,1,1,0.0870624158872566,11.2283119438539,-0.0348861305786718,1.15321128495899,0.749050864966057,0.773426914238167,1.35589483232566e-16
"../Scripts/DATA-R-P-Sparse",10,100,0.8,0.8,13,2,0.848730552965013,0.6,0.0803691972237286,7.53081909996843,0.0641892209302658,-0.634427541080531,0.999459477627967,0.998201391953711,0.000173787903049472
"../Scripts/DATA-R-P-Sparse",10,500,0,0.8,4,2,0.841911401721133,1,0.0939397780911065,56.8363335863663,-0.0711971815408094,1.59723258287571,0.766017460015233,0.76602290859479,1.76752954921314e-07
"../Scripts/DATA-R-P-Sparse",10,500,0,1,22,2,1,1,0.0923413661454889,60.2669764216242,-0.0403895435034861,0.867783347544456,0.997806294801207,0.997806292089214,2.83885208028664e-14
"../Scripts/DATA-R-P-Sparse",10,500,0.5,0.8,10,2,0.841442502754091,0.9,0.0940172820109695,52.2339675367993,0.113352536693291,-1.59892259394469,0.698862457364779,0.725776472005352,1.52694142234532e-05
"../Scripts/DATA-R-P-Sparse",10,500,0.8,0.8,16,2,0.842091441394447,0.8,0.0907874675869995,40.8532747924566,-0.0168143964953196,0.389487308454178,0.995696169094394,0.995326035324159,5.37981536900425e-05
"../Scripts/DATA-R-P-Sparse",100,100,0,0.8,2,2,0.806454655510563,1,0.00900720436979372,3.40725341909019,-0.00628865528481904,0.0999014457201091,0.990995605757222,0.991127296012295,1.13645239724696e-06
"../Scripts/DATA-R-P-Sparse",100,100,0,1,20,2,1,1,0.00901144093068646,3.50329471726651,0.000840401710091815,-0.0133593350987997,0.999669130611484,0.999669130609423,3.15109026251308e-17
"../Scripts/DATA-R-P-Sparse",100,100,0.5,0.8,8,2,0.808604536187229,0.92,0.00899794136152219,3.04494991725099,0.00656527322800431,-0.165828937742287,0.949223738981037,0.963482566450077,0.000308056876958813
"../Scripts/DATA-R-P-Sparse",100,100,0.5,1,26,2,1,1,0.00892818817418252,2.92788876311223,0.00345515396257121,-0.0691557038662462,0.997543126229418,0.99753519839466,1.27755192790895e-17
