"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-P-Sparse",10,100,0,0.8,73,2,0.160497815616602,0.83951697616408,0.95,13.1520658412593,13.1518257986299,-0.0207446083164645,-0.0205711877669005,0.97993982156815,0.980032843689154,98,2.95835613642176e-06
"../Scripts/DATA-R-P-Sparse",10,100,0,1,91,2,1.35179816122194e-06,0.999999550264848,0.95,12.2746827993375,12.274680635067,0.574990184377364,0.574918141857764,0.997267276258484,0.997264924540031,102,1.80412601817989e-07
"../Scripts/DATA-R-P-Sparse",10,100,0.5,0.8,79,2,0.182488681942552,0.830181103561053,0.78,11.4449080262442,11.3923713738309,0.0588183514778089,0.042231699936713,0.889599860009729,0.901456838236894,31.8,0.00253395710072085
"../Scripts/DATA-R-P-Sparse",10,100,0.5,1,97,2,0.00680126342688302,0.997724098775258,0.88,11.0543930566471,11.0406476762768,0.29382427171334,0.298845815268794,0.9100625836694,0.915038882907507,51.2,0.000905072440428171
"../Scripts/DATA-R-P-Sparse",10,100,0.8,0.8,85,2,0.389590758193101,0.613205960877513,0.86,7.60506765659695,7.58090222394606,0.0428970368490404,0.0414063872899974,0.791898553265467,0.811648930292418,28.2,0.000559343814122798
"../Scripts/DATA-R-P-Sparse",10,100,0.8,1,103,2,0.192829792980798,0.807170207036293,0.92,8.76355842543674,8.76355842355828,-0.172859693248804,-0.172859636369794,0.831379200867414,0.831379200960206,40.4,3.41835645168831e-12
"../Scripts/DATA-R-P-Sparse",10,500,0,0.8,76,2,0.158715810611899,0.841287073807173,0.95,55.4919669184618,55.4921203033875,-0.521098985138482,-0.52107142612484,0.949860774581132,0.949829506997931,95.8,5.7688381449006e-07
"../Scripts/DATA-R-P-Sparse",10,500,0,1,94,2,2.05344284081729e-05,0.999993006634164,0.95,56.045964344247,56.0458869123617,-0.14495487178373,-0.144682340746235,0.995691002360735,0.995701724489128,102,2.70821251439808e-06
"../Scripts/DATA-R-P-Sparse",10,500,0.5,0.8,82,2,0.175677578426042,0.832753330577464,0.82,48.9243530145843,48.8457927184623,-0.202474324806702,-0.203507886812868,0.890321442167721,0.902091048271182,48.4,0.00168618180070118
"../Scripts/DATA-R-P-Sparse",10,500,0.5,1,100,2,0.0282908393585477,0.989698798779135,0.8,49.6526610296181,49.5066393709231,-0.191670357750943,-0.198588746535884,0.884991381333975,0.912040733377476,63.2,0.00359792762753656
"../Scripts/DATA-R-P-Sparse",10,500,0.8,0.8,88,2,0.244291074126795,0.757241877568251,0.94,33.5029825922959,33.4828134098458,0.332046369401113,0.329954375610699,0.96560281771216,0.972742633264772,26.6,0.000306590339009208
